Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
Q1A265	reviewed	Protein Vpr	388911	Simian immunodeficiency virus (isolate MB66)	98	IPR000012	1..82
Q73369	reviewed	Protein Vpr	401671	Human immunodeficiency virus type 1 group M subtype B (strain 89.6)	96	IPR000012	1..82
Q74122	reviewed	Protein Vpx	73484	Human immunodeficiency virus type 2 subtype A (isolate KR)	111	IPR000012	8..98
Q74123	reviewed	Protein Vpr	73484	Human immunodeficiency virus type 2 subtype A (isolate KR)	105	IPR000012	7..88
Q75004	reviewed	Protein Vpr	388796	Human immunodeficiency virus type 1 group M subtype C (isolate ETH2220)	96	IPR000012	1..82
Q76636	reviewed	Protein Vpx	388822	Human immunodeficiency virus type 2 subtype B (isolate UC1)	111	IPR000012	4..93
Q76637	reviewed	Protein Vpr	388822	Human immunodeficiency virus type 2 subtype B (isolate UC1)	101	IPR000012	7..88
Q77375	reviewed	Protein Vpr	327105	Human immunodeficiency virus type 1 group O (isolate ANT70)	97	IPR000012	1..82
Q79668	reviewed	Protein Vpr	388816	Human immunodeficiency virus type 1 group O (isolate MVP5180)	100	IPR000012	1..82
Q89721	reviewed	Protein Vpx	388821	Human immunodeficiency virus type 2 subtype B (isolate EHO)	111	IPR000012	4..92
Q8AIH9	reviewed	Protein Vpr	388910	Simian immunodeficiency virus (isolate TAN1)	83	IPR000012	1..82
Q9IDV6	reviewed	Protein Vpr	388819	Human immunodeficiency virus type 1 group N (isolate YBF106)	95	IPR000012	1..82
Q9Q718	reviewed	Protein Vpr	388888	Human immunodeficiency virus type 1 group M subtype H (isolate VI991)	96	IPR000012	1..82
Q9QSR1	reviewed	Protein Vpr	388813	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850)	96	IPR000012	1..82
Q9WC56	reviewed	Protein Vpr	388905	Human immunodeficiency virus type 1 group M subtype J (isolate SE9280)	96	IPR000012	1..82
Q9WC65	reviewed	Protein Vpr	388904	Human immunodeficiency virus type 1 group M subtype J (isolate SE9173)	96	IPR000012	1..82
