Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A076V4C0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4C3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4E1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4H1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4K4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4M7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4P6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4Q0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4R6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4S8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	94	IPR000012	1..81
A0A076V4T5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4U8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4V9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	95	IPR000012	1..82
A0A076V4X5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V4Z1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V504	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V508	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V561	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V564	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V5F1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V5I6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V5M6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	98	IPR000012	1..82
A0A076V5R5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V5U9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V609	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V634	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V656	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V666	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6E2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6H0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6J4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6M9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6R7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V6U6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	92	IPR000012	1..82
A0A076V6Z1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V765	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V7C1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V7I2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V7N6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V7V6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V7Y8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V8F6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V8M1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V8Q6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V8W1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	94	IPR000012	1..82
A0A076V8X3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	59	IPR000012	2..46
A0A076V8Z1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	97	IPR000012	1..82
A0A076V8Z8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V938	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V964	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V9A0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V9G2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V9L8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A076V9S8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	95	IPR000012	1..82
A0A088BG76	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088BY09	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY10	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY11	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY12	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY13	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY14	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY16	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY18	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..50
A0A088BY20	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	61	IPR000012	2..47
A0A088BY22	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	64	IPR000012	1..51
A0A088BY26	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	79	IPR000012	1..79
A0A088BY30	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	82	IPR000012	1..82
A0A088BY34	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..81
A0A088BY35	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..80
A0A088BY38	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	79	IPR000012	1..79
A0A088BY42	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..80
A0A088BY46	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	78	IPR000012	1..78
A0A088BYC2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	78	IPR000012	1..78
A0A088BYC7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..80
A0A088BYD3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..80
A0A088BYD8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	77	IPR000012	1..77
A0A088BYG1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	79	IPR000012	1..79
A0A088BYG8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	79	IPR000012	1..79
A0A088BYH5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	78	IPR000012	1..78
A0A088BYS0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	81	IPR000012	1..79
A0A088BYS2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	82	IPR000012	1..82
A0A088BYS4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	75	IPR000012	1..75
A0A088DN48	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088DP73	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088DP79	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088DPC4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088DQQ1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A088SA79	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A089Q955	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A089QA47	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A089QA59	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A089QCX8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A089RSH7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0P0A2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0P0A8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0P112	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0P1J3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0P4W8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0R7L5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0RAK5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0RB72	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A0UYX7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	60	IPR000012	2..46
A0A0A0UZP5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	93	IPR000012	2..79
A0A0A0V0V8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKI5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKI8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKJ3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKK5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKM5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKP4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKP8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKQ2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKR0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKR3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKS2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZKU2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZLF0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A6ZLI1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A7MA35	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A7RPV2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A7RQ81	unreviewed	Protein Vpr	11723	Simian immunodeficiency virus	100	IPR000012	1..82
A0A0A7RQB0	unreviewed	Vpx protein	11723	Simian immunodeficiency virus	115	IPR000012	21..89
A0A0A7RQC1	unreviewed	Protein Vpr	11723	Simian immunodeficiency virus	100	IPR000012	1..82
A0A0A7RQC6	unreviewed	Protein Vpr	11723	Simian immunodeficiency virus	100	IPR000012	1..82
A0A0A7RQE3	unreviewed	Vpx protein	11723	Simian immunodeficiency virus	116	IPR000012	21..90
A0A0A7RQF5	unreviewed	Vpx protein	11723	Simian immunodeficiency virus	116	IPR000012	21..89
A0A0A7RW38	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0A7RWR4	unreviewed	Vpx protein	11723	Simian immunodeficiency virus	116	IPR000012	8..89
A0A0B4LBB1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	97	IPR000012	1..82
A0A0B4LBC0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	97	IPR000012	1..82
A0A0B4LBC1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	97	IPR000012	1..82
A0A0B4LBC6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B4MJW0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B4MJX0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B4MK01	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B4ZSX6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5G9M3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5G9P1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GD57	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GD66	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GJK9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GJL4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GKL1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5GP86	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KCS4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KPT0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KRE1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KSZ6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KUY5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KUZ1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KV22	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KV59	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVA1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVF4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVI4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVM6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVQ4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KVT9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KW07	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KZL0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KZP3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5KZZ9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L081	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L0B2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L0F1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L0L1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L5X4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L607	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L639	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L689	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L6G3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L6N4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L6Q8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L6T8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L6W8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L700	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L7W5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L805	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..83
A0A0B5L878	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L8C0	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L8G7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L8P4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L8V7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5L919	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LBX9	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LC30	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LC69	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCA4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCE2	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCL1	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCN5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCR4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCU6	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCW3	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0B5LCY8	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0C5ANH7	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0C5GNQ5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0C5GNU4	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	98	IPR000012	1..82
A0A0C5GNX5	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
A0A0C5GP11	unreviewed	Protein Vpr	11676	Human immunodeficiency virus type 1	96	IPR000012	1..82
